gene_name,transcript_id,exon_idx,exon_length,PC1,PC2
RORC,ENST00000356728.10,4,513,7.992703731651624,0.8325193632179057
ADAR,ENST00000368474.8,2,1586,-3.9739099875795,3.975001168592724
KCNN3,ENST00000271915.8,3,419,6.494467799506893,-1.7857865127403962
FLAD1,ENST00000368433.5,2,745,2.03582011717158,2.150299710251097
MUC1,ENST00000620103.4,3,454,4.651385376473256,1.6749219823025598
FAM189B,ENST00000350210.6,6,546,4.848145775081048,0.1145860062927006
HCN3,ENST00000368358.3,2,430,-2.837586759467852,0.6617405367871616
ASH1L,ENST00000368346.7,2,4564,-11.102178052832684,-2.236921323760224
ASH1L,ENST00000368346.7,4,742,-4.657923119134433,-3.381463877302948
GON4L,ENST00000368331.5,20,1710,-3.7680093120587377,4.876792438117574
SYT11,ENST00000368324.4,2,827,-1.779417718663962,1.6504177830082376
ARHGEF2,ENST00000313695.11,19,444,11.128351762101923,-1.9439030266282096
SMG5,ENST00000361813.5,12,600,2.8740503683242715,-1.207314512680203
PRCC,ENST00000271526.8,3,567,6.751131588684491,-0.3787229177727541
INSRR,ENST00000368195.3,2,552,4.67907684546267,3.0547308208021318
MNDA,ENST00000368141.4,4,417,9.410211710233732,-0.931966742750194
AIM2,ENST00000368130.8,3,420,10.651333122183544,-0.951433539454951
IGSF9,ENST00000361509.7,18,861,-5.134661667133213,-0.4330228946663024
IGSF8,ENST00000314485.11,3,462,12.986791240667468,-1.4136704154287554
IGSF8,ENST00000314485.11,4,408,12.472113256663537,-1.8966707304443111
DCAF8,ENST00000368073.7,2,674,3.647465944607644,0.8991114112352692
RP11-574F21.3,ENST00000556710.5,6,674,6.897531095531209,-0.2716669109249337
VANGL2,ENST00000368061.2,3,608,2.9622372786646065,2.116378599123085
ARHGAP30,ENST00000368016.7,10,402,5.802791035464675,-1.4155526563502585
GPR161,ENST00000539777.5,2,725,-3.4284196800546582,3.274516371063568
CCDC181,ENST00000367806.7,2,951,1.5836869676147225,3.634393621969781
SLC19A2,ENST00000236137.9,2,603,5.264833196604347,3.394355543469679
F5,ENST00000367797.7,13,2821,-8.820706187473352,3.173480540522908
SUCO,ENST00000367723.8,17,1167,0.0701182699557447,3.9110237306838394
KLHL20,ENST00000209884.4,2,574,5.693983573412724,4.564113284066452
TNR,ENST00000367674.6,2,477,-1.2268378205208013,-2.4025992660942133
PAPPA2,ENST00000367661.7,2,1072,0.7697170232792991,-0.957935511119382
RASAL2,ENST00000367649.7,8,555,2.157439042712906,-1.0633341647247003
RASAL2,ENST00000367649.7,14,862,-4.171568620212903,-0.1343164422546805
TDRD5,ENST00000367614.5,2,408,5.804643999076719,1.1471592420319303
TOR1AIP2,ENST00000367612.7,2,519,-2.0264097814082023,1.369653893636507
CEP350,ENST00000367607.7,5,623,-4.590773314519368,-2.064312590635997
CEP350,ENST00000367607.7,9,659,-5.154105175730494,-3.146342251471632
CEP350,ENST00000367607.7,11,1061,-4.898151775458797,-0.5019419800400726
CEP350,ENST00000367607.7,33,2003,-4.540141234305806,2.006763715021416
KIAA1614,ENST00000367588.8,2,947,-10.298873739084112,-1.2285258586932797
KIAA1614,ENST00000367588.8,5,1556,-8.444988380103926,-2.7317266227741697
SWT1,ENST00000367501.7,4,742,0.1518580654956297,0.4406204174885247
ASPM,ENST00000367409.8,3,1480,-9.787763398811764,0.1338894768545203
ASPM,ENST00000367409.8,18,4755,-12.852614288997128,-1.4732896063157483
CRB1,ENST00000538660.5,2,582,-1.0353852938578396,2.968459565474689
CRB1,ENST00000538660.5,6,957,-3.3261667914314867,-0.2839759159918419
NR5A2,ENST00000367362.7,5,647,2.0706925101620857,-0.6460905146996399
CAMSAP2,ENST00000358823.6,11,2203,-9.379615017651677,3.2907265628399744
PLEKHA6,ENST00000272203.7,6,483,0.4201639220920397,-2.10284048422282
PLEKHA6,ENST00000272203.7,7,517,4.167027486310948,0.101985872364527
DSTYK,ENST00000367161.7,3,670,8.359728592306402,0.6156788856075375
TMCC2,ENST00000358024.7,2,540,0.4672273909702718,1.4632612469721908
TMCC2,ENST00000358024.7,3,935,5.0980129756389845,-0.9012106059444
ELK4,ENST00000616704.4,2,873,-3.7384027730417375,0.1289119197902758
SLC45A3,ENST00000367145.3,2,786,-5.00268305055472,2.701310171495965
PIGR,ENST00000356495.4,3,657,11.330850746902533,0.0250270167605063
CR2,ENST00000367058.7,6,408,11.184782548186694,-0.7897932685843427
CR2,ENST00000367058.7,10,408,13.041802824627842,-0.6509754323391251
DIEXF,ENST00000491415.6,6,411,5.959669738515207,-2.42380175961304
SYT14,ENST00000367019.5,6,450,6.191934397559818,-0.640580415074537
KCNH1,ENST00000367007.5,7,430,12.10783900237984,-0.5467008382292925
ANGEL2,ENST00000366962.7,5,422,7.12209886440134,-1.1240412145808842
PTPN14,ENST00000366956.9,12,1478,-3.1504145810485698,-0.9730002486404438
CENPF,ENST00000366955.7,11,3404,-6.168153260788809,-1.5798371007230356
CENPF,ENST00000366955.7,12,2844,-2.375649309341935,0.6787577547996957
USH2A,ENST00000307340.7,12,642,-9.687672302287544,-2.8751941805118792
USH2A,ENST00000307340.7,16,495,-7.353692868390239,-2.7499376139682568
USH2A,ENST00000307340.7,40,629,-7.411504807843487,-2.932233092478258
USH2A,ENST00000307340.7,62,1517,-8.942507288235191,-0.1244236721209021
GPATCH2,ENST00000366935.7,2,717,1.5657453512462818,1.2013578703491392
HHIPL2,ENST00000343410.6,2,653,3.885701197124076,3.6412836953796313
MIA3,ENST00000344922.9,4,2815,-4.129788274074916,3.1647941021197057
TP53BP2,ENST00000391878.6,8,463,3.532380777375434,-1.4939576337706282
TP53BP2,ENST00000391878.6,9,776,6.063002526340375,0.3249020075130778
DNAH14,ENST00000445597.6,48,419,4.510013128231822,-1.7864395175013494
COQ8A,ENST00000366779.5,2,411,6.624030736754634,-0.3979311409740819
CDC42BPA,ENST00000366767.7,28,594,6.769795967641589,-1.3908203078334336
OBSCN,ENST00000284548.15,54,871,-2.116566429238318,-1.841706918453844
URB2,ENST00000258243.6,3,3331,-8.672818579211992,1.5479754994253454
PGBD5,ENST00000391860.6,2,428,5.699996058910801,-1.6979612969923004
SIPA1L2,ENST00000366630.5,7,577,2.781722343326112,-0.4797387532065672
PCNX2,ENST00000258229.13,5,1317,-5.575592962541426,2.3542863575918465
LYST,ENST00000389793.6,3,2080,-10.40208621770224,-1.969569585725348
LYST,ENST00000389793.6,4,1030,-5.708757481909694,-1.2175804746831376
LYST,ENST00000389793.6,10,427,-2.138463868798029,-2.9786773074698214
LYST,ENST00000389793.6,21,628,-3.919795421375908,-1.7322666664942885
RYR2,ENST00000366574.6,37,805,-0.3671124363737803,-0.7740040919872772
RYR2,ENST00000366574.6,90,1298,-2.8982700221604567,0.0945462364490735
CEP170,ENST00000366542.5,7,477,-0.1268286618635281,-1.283040659154543
CEP170,ENST00000366542.5,12,1833,-2.074050741279029,3.759127241106313
C1orf101,ENST00000366531.7,2,493,-0.8606570499044793,4.037947061402742
C1orf101,ENST00000366531.7,3,478,7.762548238143522,-0.2300331980331894
C1orf101,ENST00000366531.7,4,443,10.60013332817855,-0.6138191668958677
KIF26B,ENST00000407071.6,2,402,-5.067547536272146,-0.8804678250872221
KIF26B,ENST00000407071.6,3,534,-0.4348757971201413,-1.853103262924324
KIF26B,ENST00000407071.6,12,3403,-8.613210058900117,0.845792579609653
AHCTF1,ENST00000366508.5,33,1828,-5.363216803885042,1.852909877871301
NLRP3,ENST00000366497.6,3,1753,-3.6252220553876735,2.8391338839965314
PXDN,ENST00000252804.8,17,1504,0.1978134008162357,2.918592804850524
MYT1L,ENST00000399161.6,5,978,2.32199048171516,1.2194820486081872
NT5C1B-RDH14,ENST00000532967.5,5,465,9.745371336455886,-0.5177157356679699
NT5C1B,ENST00000304081.8,4,465,9.908716732371428,-0.907102905953768
MATN3,ENST00000407540.7,2,567,17.2097456039587,0.3873993069377557
SDC1,ENST00000254351.8,3,479,7.186737688402176,-2.182438464231261
APOB,ENST00000233242.5,26,7572,-10.409343478643097,-2.4139191955697177
KLHL29,ENST00000486442.5,3,513,1.2714703385149912,-0.7591334018808387
ATAD2B,ENST00000238789.9,25,684,6.14737677239053,-2.0894450928845045
NCOA1,ENST00000406961.5,9,1321,-5.192209742421173,2.4784472867358254
GAREM2,ENST00000401533.6,4,1044,-8.664858823312956,2.481131422361309
EMILIN1,ENST00000380320.8,4,1929,-0.7742499538132082,-0.6007313303975029
PPM1G,ENST00000344034.4,5,416,14.862779470575834,-0.2795063683148928
SUPT7L,ENST00000337768.9,2,405,-3.924649090761623,2.160227297203394
EHD3,ENST00000322054.9,4,413,10.125704922422264,-1.0821289252938266
NLRC4,ENST00000360906.9,3,1995,-4.731118430233458,3.4365774995472758
BIRC6,ENST00000421745.6,10,1395,-8.485233548940004,-0.2123664749598581
BIRC6,ENST00000421745.6,46,563,-3.6315601570610654,-2.319790784466543
BIRC6,ENST00000421745.6,55,781,-6.844165575482744,-1.9145751798865176
CEBPZ,ENST00000234170.9,2,1493,-3.4767657259379394,4.7094896100335575
DHX57,ENST00000457308.5,4,839,0.3402414328892375,3.6756300872193455
ARHGEF33,ENST00000409978.5,14,808,-0.3940557767173054,-0.4365807864902934
SOS1,ENST00000426016.5,10,656,-2.255341724618429,0.4628383365285144
THADA,ENST00000405975.6,10,692,-4.946441330597852,0.0460495147732093
PLEKHH2,ENST00000282406.8,7,962,-2.407798947203736,1.351710420903347
STON1-GTF2A1L,ENST00000405008.5,7,590,1.661697052924462,-1.1694464937131264
NRXN1,ENST00000625672.2,7,439,6.586988045735429,-0.8579124322378521
SPTBN1,ENST00000356805.8,13,871,3.497613697465195,-1.0008827028567453
SPTBN1,ENST00000356805.8,15,757,8.073572188333845,-1.0498099036620825
CCDC88A,ENST00000336838.10,15,1071,-5.096084516763614,1.6021828109165388
PPP4R3B,ENST00000611717.4,4,624,6.505911496512662,-0.1273413760520216
CCDC85A,ENST00000407595.2,2,964,-1.2518369551274977,-1.788861642793469
EHBP1,ENST00000405015.7,12,903,2.655481814728467,0.7015823480226125
WDPCP,ENST00000409354.6,2,610,3.960678374252391,2.578193323184289
CEP68,ENST00000377990.6,2,1527,-6.431864179850159,-0.9079193737508324
CLEC4F,ENST00000272367.6,4,1119,-1.1553022548276606,2.6601930876549016
MPHOSPH10,ENST00000244230.6,2,679,11.321369581175592,3.777439765876234
RAB11FIP5,ENST00000486777.6,2,437,-5.987147707453253,-3.272334603646062
RAB11FIP5,ENST00000486777.6,4,2013,-8.639918835043582,-0.2737530557678087
ALMS1,ENST00000484298.5,4,473,-8.847425746770522,-3.499553901015072
ALMS1,ENST00000484298.5,7,6108,-11.876500778746932,-2.316577019802908
ALMS1,ENST00000484298.5,9,1865,-10.52108094876428,-0.2739191128445958
ALMS1,ENST00000484298.5,15,1163,-9.829463668037365,-1.1480055222311396
TET3,ENST00000409262.7,3,2134,-13.598563453826973,-0.2791155307531686
DNAH6,ENST00000389394.7,33,556,5.5062696501481305,-0.83881563906031
TRABD2A,ENST00000335459.9,2,561,3.673250756762644,4.797054305751336
TGOLN2,ENST00000282120.6,2,1178,3.585008430412413,2.709543026586236
RGPD1,ENST00000409776.6,20,2224,-5.406381371587382,5.216839255862186
RGPD2,ENST00000398146.3,20,2224,-5.414805265803123,5.0985889300192575
EIF2AK3,ENST00000419748.5,11,781,-0.7969550691249646,-0.5349275179325435
NEURL3,ENST00000451794.5,2,486,-3.465857272411565,4.296080133689836
ANKRD36B,ENST00000359901.8,39,915,1.6869602736169966,-1.3905365744128613
TMEM131,ENST00000186436.9,31,599,0.2061499897345946,-1.1829920813018535
KIAA1211L,ENST00000397899.6,6,1681,-8.685172266382,0.5094644102480749
EIF5B,ENST00000289371.10,4,673,9.829074794064242,2.1340018321940946
REV1,ENST00000393445.7,5,710,-1.4742085770301432,1.4542512017588816
AFF3,ENST00000409236.6,12,1095,-0.423269143888495,-0.0290914061221761
SLC9A4,ENST00000295269.4,2,464,4.9200640400789935,1.0122212135337685
SLC9A2,ENST00000233969.2,2,464,4.013496019445074,1.2938581871003734
RGPD3,ENST00000304514.11,20,2224,-4.84137801783091,2.597253300957841
RGPD4,ENST00000408999.3,20,2224,-4.969458195610773,1.70276194047126
GCC2,ENST00000309863.10,6,2466,-1.9815306405996136,3.108323578500041
RANBP2,ENST00000283195.10,20,5152,-10.536843194025773,0.258899442830723
RGPD6,ENST00000329516.7,20,2224,-3.5330640589318163,3.579372468210361
MERTK,ENST00000295408.8,2,421,5.208874991439269,3.146683864072212
ZC3H6,ENST00000409871.5,10,512,-2.281583924935886,-1.0048386958036517
RGPD8,ENST00000302558.7,20,2224,-4.940081794278547,1.3838509632290794
SLC20A1,ENST00000272542.7,7,559,11.613196030588943,-0.8020844726574043
CKAP2L,ENST00000302450.10,4,1238,-4.562413987935737,2.0018412470930627
STEAP3,ENST00000393110.6,2,500,-2.0394213632826315,0.5662417904744594
STEAP3,ENST00000393110.6,3,528,3.724827963290381,0.4985596577373082
WDR33,ENST00000322313.8,15,1089,-6.872271657581015,-2.587094864807466
WDR33,ENST00000322313.8,17,439,4.613494798430789,-2.1068129835843803
ARHGEF4,ENST00000409359.6,2,3513,-8.778142873814998,0.1841761658961943
MAP3K19,ENST00000392915.6,7,2454,-6.670621591876817,3.757137534251799
ZRANB3,ENST00000619650.4,7,403,8.67294299448872,-1.7186461992167072
LCT,ENST00000264162.6,6,721,-1.0277851166964544,-1.57618945447258
LCT,ENST00000264162.6,7,646,-4.348143220636635,-3.0234989535018832
LCT,ENST00000264162.6,8,1551,-3.034915983924091,1.5046683466108437
MBD5,ENST00000407073.5,4,2121,-12.037139922529564,-0.0546561824552814
MBD5,ENST00000407073.5,7,1209,-3.5678704156202103,-2.8270068388363043
RIF1,ENST00000444746.6,29,3237,-4.898247615027952,3.54265032366968
TANC1,ENST00000263635.7,12,608,1.1592057059576637,-0.4069450779707166
BAZ2B,ENST00000392782.5,7,607,-0.294537215930543,-1.0735238531270324
BAZ2B,ENST00000392782.5,25,650,4.369992908848861,-1.2522055825971088
MARCH7,ENST00000539065.5,3,1099,0.1800973560663246,0.6035349167460496
ITGB6,ENST00000283249.6,10,418,11.167732237374484,-1.3687308630953536
KCNH7,ENST00000618399.4,3,429,0.032412463569019,0.8662884045372067
KCNH7,ENST00000618399.4,6,426,7.615066967669193,-1.102723939216366
COBLL1,ENST00000392717.6,13,1565,-6.02088657337902,0.0582657436575948
SCN3A,ENST00000360093.7,16,471,4.151363389115324,-1.0677847324288308
SCN1A,ENST00000640036.1,16,483,5.335459589145627,-1.046443932761996
SCN9A,ENST00000409672.5,16,477,3.6542341356477857,-1.2400786949677434
SCN7A,ENST00000409855.5,14,435,3.903389802273016,-1.3085968073653798
LRP2,ENST00000263816.7,39,921,-5.805413115461539,-1.1813073541006427
LRP2,ENST00000263816.7,50,517,-3.0434929059581446,-2.4119901641134343
FASTKD1,ENST00000453153.6,7,487,8.046665743802983,-0.2589805942977697
UBR3,ENST00000272793.9,23,461,2.95214901941085,-0.9450579969172904
SP3,ENST00000310015.10,4,1360,-8.5636627669333,0.0845565369997459
WIPF1,ENST00000392547.6,4,771,-6.643136478140734,-2.0680513134766065
SSFA2,ENST00000431877.6,8,701,-1.6521762345635165,-0.273147445400433
SSFA2,ENST00000431877.6,11,1212,-3.818498202380832,-0.4150799613995373
FSIP2,ENST00000424728.5,16,8884,-12.056573728849962,-3.802358814647021
FSIP2,ENST00000424728.5,17,9437,-11.786044480795177,-3.806202498660716
PMS1,ENST00000639501.1,7,890,-7.802262235711398,-1.6317079673119963
HECW2,ENST00000260983.7,8,1353,-1.3360466009713206,1.9699417775529544
PLCL1,ENST00000428675.5,2,2475,-6.082278100991136,3.689371853892324
SATB2,ENST00000417098.5,6,473,3.4744883386532863,-2.684382526966866
ALS2,ENST00000264276.10,3,938,-2.095098986113394,2.8374030884254458
NBEAL1,ENST00000449802.5,12,581,-2.315076855414319,-1.2609130432547273
NBEAL1,ENST00000449802.5,26,576,-0.8916207106393467,-1.4888439215514555
RAPH1,ENST00000457812.5,3,506,11.098902709126138,0.0599212268252359
INO80D,ENST00000403263.5,2,746,-9.482272258383547,-1.64134707992181
MDH1B,ENST00000374412.7,5,497,16.581647165020645,0.7041554208709686
KLF7,ENST00000412414.6,2,631,-5.996637229126721,0.752331369317372
PLEKHM3,ENST00000427836.7,2,936,-0.3844859048772379,-1.4973112694100033
BARD1,ENST00000260947.8,4,950,-0.3962646861354241,-0.4363531593902461
TNS1,ENST00000171887.8,12,1578,-9.700996988468145,-0.0682733094373655
TNS1,ENST00000171887.8,19,1070,-4.016517051350878,-0.2496539522444119
ZNF142,ENST00000449707.5,3,825,-13.396018780858912,-2.090609958717476
ZNF142,ENST00000449707.5,5,3037,-15.174970589662044,-0.748672717764977
PRKAG3,ENST00000439262.6,4,404,11.473213022648135,-0.6478508255979181
SPEG,ENST00000312358.11,4,1298,-6.908012235143466,-1.292196105784577
SPEG,ENST00000312358.11,30,1975,-7.7099491380519956,0.3546121662229684
SPEG,ENST00000312358.11,36,604,-1.3056216395022275,-1.9060985280405267
CHPF,ENST00000243776.10,2,574,2.3805550684726486,0.5200793008085736
TMEM198,ENST00000344458.6,2,576,0.6371506168117786,3.545988627278823
EPHA4,ENST00000281821.6,3,664,11.8098269691931,2.3481448798945266
MRPL44,ENST00000258383.3,2,469,9.903775530507565,0.431018823248169
NYAP2,ENST00000636099.1,3,1095,-6.9703502085099736,-1.5978280980277717
SLC19A3,ENST00000425817.5,2,829,-3.1026230737277416,1.882533681029677
SPHKAP,ENST00000392056.7,7,3751,-8.375789985988376,1.7459314529022474
TRIP12,ENST00000283943.9,2,803,-4.469182009808382,0.4942052836821357
NCL,ENST00000322723.8,3,478,16.45544760667151,0.7522217048566151
SH3BP4,ENST00000392011.6,2,2360,-6.788538404951618,2.5073278189625228
ASB18,ENST00000409749.7,4,505,3.063894381336964,3.293971395343882
COL6A3,ENST00000353578.8,2,603,-2.986154890044603,-1.1389061537258844
COL6A3,ENST00000353578.8,3,585,-0.4446439524895557,-2.193620723840757
COL6A3,ENST00000353578.8,4,600,0.394959429563249,-1.562438961220362
COL6A3,ENST00000353578.8,5,573,2.3711133244650564,-2.2304910776800795
COL6A3,ENST00000353578.8,6,609,0.3648275329008714,-2.423674717774538
COL6A3,ENST00000353578.8,7,606,1.757221954068629,-2.5148073223538354
COL6A3,ENST00000353578.8,8,615,3.162149065254837,-1.9299836739096947
COL6A3,ENST00000353578.8,9,600,5.646235622066047,-1.532783755492125
COL6A3,ENST00000353578.8,34,494,8.496195176648413,-1.9474392905268831
COL6A3,ENST00000353578.8,36,699,4.9848959970499,-0.92554963664532
