gene_name,transcript_id,penultimate_junction,pe_start,pe_end,num_exons,cds_length,a,d,c,c_absolute,b,r2,n_points,x_min,x_max
TMEM240,ENST00000378733.8,385,185,384,4,522,0.5430365536867977,-0.5794552183200209,0.6840180762003031,-63.56442091233998,10.166500422750032,0.9562821685277161,67,-199.0,-1.0
SSU72,ENST00000291386.3,796,596,795,5,585,0.8088236305756861,-0.9233231596969422,0.8727736667445353,-27.809134984815614,19.999999999999996,0.9627458494152287,66,-198.0,-3.0
MIB2,ENST00000520777.5,3008,2808,3007,20,3201,0.6703595807780522,-0.1701093911810733,0.5473321147419729,-90.62824128108937,5.244545158596363,0.9951618217437078,67,-199.0,-1.0
MMP23B,ENST00000356026.9,1123,923,1122,8,1173,0.7424946260226843,-0.06362853999994945,0.7355997280632992,-54.351253843466765,9.138147541696112,0.9630046111163774,67,-200.0,-2.0
CDK11B,ENST00000341832.10,2369,2169,2368,20,2349,0.8828299339452054,-0.4802867361606139,0.837184397174665,-34.74904255094032,19.999999999999996,0.9830245895905777,66,-198.0,-3.0
SLC35E2B,ENST00000614300.4,1574,1374,1573,7,741,0.5641963408334115,-0.525787746341951,0.7542836573947804,-50.91468680801782,19.999999999999996,0.99605429110764,66,-198.0,-3.0
CDK11A,ENST00000356200.7,2384,2184,2383,19,2241,0.7267424089789101,-0.22171865235669969,0.8256062648793948,-37.006778348518,19.99999999999992,0.9843874437224052,66,-198.0,-3.0
SLC35E2,ENST00000355439.6,1494,1294,1493,7,741,0.5937695599077776,-0.5317957568104126,0.7540797845589862,-50.954442010997695,19.99999999999991,0.9961386489628204,66,-198.0,-3.0
NADK,ENST00000341426.9,1407,1207,1406,12,1341,0.7377709278858047,-0.7655758366096223,0.7398909124246897,-53.50159933991142,5.998014692090803,0.9888494307617137,67,-200.0,-2.0
GNB1,ENST00000610897.4,1377,1177,1376,11,1023,0.7672127954200623,-0.6303335411188709,0.8609894594021427,-37.85596055120146,19.999999999999996,0.9792881970572102,63,-198.0,-12.0
CALML6,ENST00000307786.7,954,754,953,6,546,0.5664447647091025,-0.3516607913924274,0.7773559414466128,-45.083523593570675,17.460532397757067,0.9895200375804329,67,-199.0,-1.0
CFAP74,ENST00000493964.5,4810,4610,4809,38,4755,0.5744580087593006,-0.29073470380845134,0.8108786025189654,-39.87867250880174,19.999999999999996,0.9900150408943316,66,-198.0,-3.0
GABRD,ENST00000378585.6,1186,986,1185,9,1359,0.764850339750209,-0.5047067968880727,0.7973379089010998,-42.519107764285536,19.751853131530325,0.9934677571952167,66,-198.0,-3.0
PRKCZ,ENST00000378567.7,1853,1653,1852,18,1779,0.9443513607098728,-0.6918286788431761,0.7446769065581456,-52.55397250148718,19.999999999999996,0.9849709171838978,67,-200.0,-2.0
FAAP20,ENST00000400919.7,361,161,360,3,570,-0.4861683114590725,-0.3514427950499426,0.20732331337022514,-157.94998395269542,4.812578907157227,0.6916800689687047,67,-199.0,-1.0
SKI,ENST00000378536.4,2071,1871,2070,7,2187,0.3855925784621714,-0.4832975335666753,0.800002491181461,-41.999514219615094,10.514652385996426,0.9958816041142444,66,-198.0,-3.0
MORN1,ENST00000378531.7,1472,1272,1471,14,1494,0.7568738158550165,-0.7881617599999999,0.7862092396410398,-43.33057055107412,4.630463706775709,0.990388117450817,67,-199.0,-1.0
RER1,ENST00000378513.7,593,393,592,6,354,0.4760607621726156,-0.5608676762795296,0.904262904350651,-64.36056434740235,19.213490570152356,0.9830447550521224,51,-200.0,-50.0
PEX10,ENST00000288774.7,1001,801,1000,6,1041,0.7276835180519203,-0.5830263326547824,0.8579152964561663,-30.706517191047567,19.999999999999996,0.9914571127265952,66,-198.0,-3.0
PLCH2,ENST00000609981.5,498,298,497,4,333,-0.20366081996472443,-0.084564288391684,0.255633370960808,-148.38459254976001,19.999989265313456,0.11773533644051681,67,-199.0,-1.0
PANK4,ENST00000378466.7,2150,1950,2149,19,2346,0.8301886071909933,-0.40180252927637117,0.7693650523136181,-47.66571964190362,7.892002693124053,0.9892999117935775,67,-200.0,-2.0
HES5,ENST00000378453.3,302,102,301,3,501,-0.6019981953938165,-0.3977405518697618,0.15187183039364502,-168.9293775820583,9.591857319191561,0.1719026763875302,67,-199.0,-1.0
TNFRSF14,ENST00000426449.5,570,370,569,6,551,0.34473724244478376,-0.40318749872744114,0.7601098439938919,-48.4982508892094,12.933952536675243,0.9901308758215666,67,-199.0,-1.0
FAM213B,ENST00000444521.6,770,570,769,7,741,0.7255764493394876,-0.5106967228851533,0.7575794132005295,-50.27201442589674,19.9999999999994,0.9912226686163572,66,-198.0,-3.0
MMEL1,ENST00000471840.5,102,1,101,3,201,-0.34146762963667393,-0.7841157497590517,0.630601127353487,-38.57048839200479,1.64188162372747,0.9543855149315016,34,-101.0,-2.0
TTC34,ENST00000401095.8,2895,2695,2894,9,3240,0.38545603171517556,-0.5156184491911521,0.7428358375262012,-53.14701168239077,9.026307927192564,0.990037559188706,66,-198.0,-3.0
PRDM16,ENST00000511072.5,3617,3417,3616,16,3537,0.32620040539204587,-0.6646422853857484,0.6024083626609426,-80.72314419313338,7.199234683227957,0.9912080784543644,67,-200.0,-2.0
ARHGEF16,ENST00000378378.8,2396,2196,2395,15,2130,0.5080128356942909,-0.4646849076044761,0.7331523528380844,-53.83583413805928,11.940357346330963,0.9893710442065239,67,-199.0,-1.0
MEGF6,ENST00000294599.8,3832,3632,3831,30,3690,0.25788807114967666,-0.5374012003366204,0.7673679987087572,-47.06113625566607,3.6855396100265003,0.9926131919404018,67,-199.0,-1.0
TPRG1L,ENST00000378344.6,696,496,695,5,819,0.640871120563386,-0.4989877669589084,0.8433887310959907,-33.539197436281825,19.999999999999925,0.9910776355417255,66,-198.0,-3.0
WRAP73,ENST00000378322.7,1108,908,1107,11,1308,0.7101058128512647,-0.6033586486242407,0.7179117406177806,-56.85347535767943,16.75682259037797,0.992846500496856,67,-199.0,-1.0
TP73,ENST00000378295.8,1734,1534,1733,14,1911,0.45540152791808963,-0.9674358323118176,0.8719646861470863,-27.966886201318175,6.496836687803681,0.9691321202849142,66,-198.0,-3.0
CCDC27,ENST00000294600.6,1933,1733,1932,12,1971,0.45932534312782786,-0.48902074070118023,0.8502583012576955,-32.19963125474936,19.999999999999996,0.9455901352289693,66,-198.0,-3.0
LRRC47,ENST00000378251.2,1532,1332,1531,7,1752,0.5690453576501039,-0.24427220720768317,0.7845234063215692,-45.017935767294006,19.187312463504096,0.9905840126239015,66,-198.0,-3.0
CEP104,ENST00000378230.7,2988,2788,2987,22,2778,0.5888657555393558,-0.803724615679648,0.7483020642195551,-50.83619128452807,6.762396294220115,0.9821687452583159,67,-199.0,-1.0
DFFB,ENST00000625756.2,579,379,578,3,312,0.030242159952295084,-0.5650818398752301,0.9178576468870306,-17.26418591636792,2.4740765276260657,0.8972982269644042,67,-199.0,-1.0
C1orf174,ENST00000361605.3,718,518,717,4,732,0.5173096574703382,-0.6319725023022243,0.8623939906048239,-29.83317183205935,5.58291317648101,0.986919502554835,66,-198.0,-3.0
AJAP1,ENST00000378190.7,1990,1790,1989,6,1236,0.2696537561025834,-0.30237293999999904,0.9814817945617138,-64.5555123504835,19.99999999999729,0.8126558335600197,47,-200.0,-62.0
KCNAB2,ENST00000378111.5,470,270,469,8,522,-0.06398056926037131,-0.650743177106085,0.8226683182540813,-37.11167298569191,8.379561284741822,0.8430050248700907,67,-200.0,-2.0
CHD5,ENST00000262450.7,6012,5812,6011,42,5865,0.6137344532134444,2.7312263998625913e-19,0.950152746928754,-56.4770879606869,11.071124741244,0.9268840896974653,51,-199.0,-49.0
RPL22,ENST00000484532.5,232,89,231,3,162,-0.2202885790260539,-0.5067840705400022,0.9999999999999999,-2.0000000000000284,3.1513998192522115,0.7573427432452933,48,-143.0,-2.0
RNF207,ENST00000377939.4,1861,1661,1860,18,1905,0.46099946188586527,-0.6636500704168916,0.699379942595894,-61.52277136601299,6.816243968741842,0.9856317404721326,67,-200.0,-2.0
ICMT,ENST00000343813.9,702,502,701,5,855,0.5161305381426184,-0.3881526059095193,0.7818582278543658,-45.53764556839869,19.999999999999996,0.9931561128885216,66,-198.0,-3.0
HES3,ENST00000377898.3,229,66,228,4,561,-0.5746549817035824,-0.9616461369682021,0.999999999996124,-1.0000000006279208,11.993310408409984,0.7747909873940488,55,-163.0,-1.0
GPR153,ENST00000377893.2,1425,1225,1424,6,1830,-0.040688878520415174,-0.8168812373944393,0.7581593708013463,-50.15892269373748,5.362852862070705,0.961674760419137,66,-198.0,-3.0
ACOT7,ENST00000608083.5,977,777,976,9,1017,0.8585873007796898,-0.8810453590607129,0.833175148299291,-35.53084608163826,19.999999999999996,0.9774736889756341,66,-198.0,-3.0
HES2,ENST00000377837.5,358,217,357,4,231,-0.2796256118470511,-0.7908937109625049,0.9999999999999999,-3.0000000000000284,1.3577055416656947,0.9589231941770711,47,-141.0,-3.0
ESPN,ENST00000636330.1,2494,2294,2493,11,4089,0.10698691716305468,-0.542001309245298,0.694236129749161,-62.62395469891359,5.318626141943697,0.9940836288866668,66,-198.0,-3.0
PLEKHG5,ENST00000535355.5,3245,3045,3244,21,3228,-0.2777935886467699,-0.5588472754602346,0.8075151337115809,-40.112003525106985,19.999999999999936,0.9097492213472333,67,-200.0,-2.0
NOL9,ENST00000377705.5,1993,1793,1992,12,2109,0.4998476478650724,-0.5727704302770475,0.8376260334386957,-34.66292347945435,19.999999999999996,0.983059268795416,66,-198.0,-3.0
TAS1R1,ENST00000333172.10,1788,1588,1787,6,2526,0.5882570797884871,-0.5765862626254853,0.7202753931039555,-56.385472165416815,9.221495997578687,0.9843365177316323,67,-199.0,-1.0
KLHL21,ENST00000377658.8,1553,1353,1552,4,1794,0.4710859812081852,-0.36504770099351386,0.8627503119463243,-29.763689170466762,15.882164463308872,0.9957157449905446,66,-198.0,-3.0
PHF13,ENST00000377648.4,1059,859,1058,4,903,0.16413827045992807,-0.5235031955843793,0.7075870455966837,-58.89776497185662,4.87886060955304,0.9851053392094657,67,-199.0,-1.0
THAP3,ENST00000054650.8,597,397,596,6,720,0.5612086652315655,-0.550951216746655,0.7375765166148915,-54.17257926009614,19.999999999997872,0.9731594953211392,66,-198.0,-3.0
DNAJC11,ENST00000451196.5,741,541,740,8,999,0.7240962280212884,-0.8872571958550811,0.7280345915501751,-55.84915087306533,9.81163388326942,0.9862020408568476,67,-200.0,-2.0
CAMTA1,ENST00000303635.11,5197,4997,5196,23,5022,0.38840475930038726,-0.46810622052965456,0.7704262081313252,-47.766889414391585,19.999999999999996,0.9874260000907606,66,-198.0,-3.0
VAMP3,ENST00000054666.10,399,199,398,5,303,0.6214168278473091,-0.49458300785450376,0.7969024273139077,-41.213319391846284,19.999999999999996,0.9779513231591227,67,-199.0,-1.0
PER3,ENST00000377541.5,1258,1058,1257,10,1137,0.7906658441000317,-0.4556237234910505,0.8027324857452033,-40.058967822449745,19.999999999999996,0.9952107327974397,67,-199.0,-1.0
UTS2,ENST00000377516.6,734,534,733,7,420,0.8412576870176113,-1.185976398988327,0.8855558687786632,-23.659937981824697,19.999999999999996,0.9777122869740686,67,-199.0,-1.0
TNFRSF9,ENST00000615230.4,941,741,940,9,768,0.6279311634217961,-0.5911968349901684,0.8153881315927225,-37.55314994464095,19.999999999999027,0.991932661532528,67,-199.0,-1.0
PARK7,ENST00000493373.5,466,266,465,7,568,0.8954791178358484,0.28928292833824804,0.8439068355405113,-31.906446562978772,19.99999999999696,0.9664350255254308,67,-199.0,-1.0
SLC45A1,ENST00000471889.5,2366,2166,2365,9,2349,0.41824129482633243,-0.47477850496272367,0.8305841717675774,-36.0360865053224,15.143429393850287,0.9922131899102714,66,-198.0,-3.0
RERE,ENST00000337907.7,5303,5103,5302,24,4701,0.2685676401889613,-0.5241057691606261,0.6685095420319767,-67.63511067766862,10.735850274862443,0.9914876440630077,67,-200.0,-2.0
ENO1,ENST00000234590.8,1356,1156,1355,12,1305,0.8865264818498584,-0.6147295524491372,0.7603557175796127,-49.44956791923667,19.999999999999996,0.990432419675899,67,-200.0,-2.0
CA6,ENST00000549778.5,496,296,495,6,562,1.1115428105803284,0.5150693372864037,0.7552331006062171,-49.46384607996902,9.719939121135061,0.9646297288188498,67,-199.0,-1.0
SLC2A7,ENST00000400906.1,1321,1121,1320,12,1539,0.8774315693175768,0.09185229566667766,0.8089453806623759,-40.255650770836695,19.999999999998685,0.9808620711947367,66,-198.0,-3.0
SLC2A5,ENST00000377424.8,1483,1283,1482,12,1506,0.7748032045873117,-0.5394138220895206,0.7922572479620648,-43.50983664739738,19.999999999999996,0.9898632510788413,66,-198.0,-3.0
GPR157,ENST00000377411.4,936,736,935,4,1008,0.5025953206743851,-0.6433702461623774,0.8377733693432785,-34.634192978060696,19.999999999999996,0.9921217701763835,66,-198.0,-3.0
H6PD,ENST00000377403.6,1318,1118,1317,5,2376,0.1027502869702843,-0.3783452387615425,0.5639929035256707,-87.3294051019172,4.468530325232143,0.9826336898173226,67,-199.0,-1.0
SLC25A33,ENST00000302692.6,974,774,973,7,966,0.5795295859749148,-0.6171414833582546,0.7376388129599765,-52.947515033924674,8.7118974391126,0.9501765871776275,67,-199.0,-1.0
TMEM201,ENST00000340305.9,966,766,965,6,1179,0.10028829910562277,-0.5775389704559892,0.6262502709300523,-76.00244635584966,4.723514776167678,0.9889788478630115,67,-200.0,-2.0
PIK3CD,ENST00000536656.5,3278,3078,3277,25,3207,0.7012643424402785,-0.4700413513252983,0.8351429011643835,-35.14713427294521,19.999999999999996,0.9843152276806748,66,-198.0,-3.0
CLSTN1,ENST00000377298.8,3542,3342,3541,19,2946,0.7009500995894519,-0.4071151944431096,0.7706409093261618,-47.72502268139846,19.999999999999993,0.9922193926643014,66,-198.0,-3.0
CTNNBIP1,ENST00000377263.5,500,313,499,6,246,0.2674737743662808,-0.4472395522980727,0.7383913467106844,-49.65920951181269,19.9999999999979,0.9263410810527102,63,-187.0,-1.0
LZIC,ENST00000488540.5,407,207,406,5,510,1.0807416041070181,-0.7452467551543789,0.7955332368275942,-41.484419108136336,19.999999999999996,0.9803782845790565,67,-199.0,-1.0
NMNAT1,ENST00000403197.5,584,384,583,5,483,0.8472988100044034,-0.7530364087624003,0.7538689456490697,-49.733948761484186,19.999999999999996,0.9929344604294592,67,-199.0,-1.0
UBE4B,ENST00000253251.12,4300,4100,4299,27,3522,0.4147654524809727,-0.5192032672496183,0.776214885529801,-45.3094526650994,19.999999999999996,0.9838241452257375,67,-199.0,-1.0
KIF1B,ENST00000377093.8,2131,1931,2130,21,3462,0.2397964375752612,-0.7124311999999999,0.8325495477958063,-35.65283817981779,2.8975000678764684,0.9648567372394061,66,-198.0,-3.0
PGD,ENST00000491493.5,672,472,671,7,615,0.8407126173539203,7.812252392115788e-21,0.8919120244242393,-24.07715523727333,19.999999999999996,0.9351293048323187,66,-198.0,-3.0
APITD1-CORT,ENST00000400900.6,693,493,692,5,495,-0.29974151653984354,0.056859513227915985,0.2716538660483969,-145.0274961205626,9.464218963903127,0.3760452974544961,66,-198.0,-3.0
CENPS,ENST00000309048.7,352,152,351,5,417,-0.35831185198227233,-0.018229873761305918,0.29745375758843173,-139.99651727025582,12.962332438624669,0.2296946804873461,66,-198.0,-3.0
DFFA,ENST00000377038.7,852,652,851,6,996,0.6620050658072526,-0.5932250866508513,0.8243586001041224,-37.250072979696114,19.999999999999996,0.9895238346810754,66,-198.0,-3.0
PEX14,ENST00000356607.8,758,558,757,9,1134,0.5635942690123021,-1.1405267680114555,0.6107633530977802,-79.06885608663953,2.228226937808755,0.9803829091188524,67,-200.0,-2.0
CASZ1,ENST00000377022.7,4481,4281,4480,21,5280,-0.22386629893826962,-0.734370267616247,0.6819054450875982,-63.98272187265556,2.2202963773914575,0.9503066492660694,67,-199.0,-1.0
C1orf127,ENST00000418570.6,1997,1797,1996,8,1976,-0.05186350078398313,-0.07160370424521631,0.9999999999999999,-25.00000000000003,3.439623063150548,0.7656079928237507,59,-199.0,-25.0
TARDBP,ENST00000473118.5,641,441,640,5,604,0.7252903140290736,0.23347207674462,0.8198258060880413,-38.13396781283194,19.999999999717815,0.7039233890286086,66,-198.0,-3.0
MASP2,ENST00000400897.7,1314,1114,1313,11,2061,0.6760763173565676,-0.6184564663410586,0.7664713453881666,-47.23867361314299,10.258135569624871,0.9864422493044398,67,-199.0,-1.0
SRM,ENST00000376957.6,970,770,969,8,909,0.8899332224292305,-0.8229024892712452,0.8485247481922411,-32.537674102512995,19.999999999999996,0.9549248411838276,66,-198.0,-3.0
EXOSC10,ENST00000304457.11,2591,2391,2590,24,2583,0.7870295533373245,0.07994913067776091,0.747040807257089,-52.085920163096375,11.168982119492226,0.9471918768859783,67,-200.0,-2.0
MTOR,ENST00000376838.5,3052,2852,3051,20,2265,0.5269617281137455,-0.5688926158027346,0.6803746124941313,-65.28582672616199,19.999999999999996,0.9887317348269309,67,-200.0,-2.0
ANGPTL7,ENST00000376819.3,1111,911,1110,5,1041,0.7845445071513532,-0.27477296117912664,0.7882157706648257,-42.93327740836452,7.953506053971696,0.989097163399843,67,-199.0,-1.0
DISP3,ENST00000294484.6,3955,3755,3954,21,4179,0.643872614697031,-0.5426444368317397,0.8033310299139289,-41.350449166783875,15.145818013832239,0.9941994758820688,66,-198.0,-3.0
FBXO2,ENST00000354287.4,1099,899,1098,6,891,0.7663721521697834,-0.5614690526085161,0.7825029828436545,-45.41191834548738,17.708187145806175,0.993377727487553,66,-198.0,-3.0
FBXO44,ENST00000251546.8,737,537,736,5,675,0.41901870411329184,-0.7048950007033392,0.6863203412251172,-63.1085724374268,10.157148682949893,0.9923689397792594,67,-199.0,-1.0
FBXO6,ENST00000376753.8,781,581,780,6,882,0.6292320702262788,-0.53483023524439,0.7879470934849205,-44.350316770440486,12.346924038430826,0.9890500059071988,66,-198.0,-3.0
MAD2L2,ENST00000235310.7,1524,1324,1523,11,636,0.48723638397418123,-0.6920903678351744,0.8104609655929935,-39.96011170936626,9.031361922542295,0.9676053061385305,66,-198.0,-3.0
DRAXIN,ENST00000294485.5,1073,873,1072,7,1050,0.46657422042567054,-0.5572723720111376,0.8030168935061669,-40.00265508577897,5.88727294296619,0.9781856218002414,67,-199.0,-1.0
AGTRAP,ENST00000376637.7,434,234,433,4,336,-0.2443368172711077,-0.03151730877235123,1.0000017722265437e-06,-199.9998019996491,0.010000000000090383,0.008297010624917167,67,-200.0,-2.0
C1orf167,ENST00000433342.5,4231,4031,4230,21,4407,0.2549249804890151,-0.24275572387119543,0.7992912499626781,-42.13820625727777,12.02023346231903,0.9870824455437581,66,-198.0,-3.0
MTHFR,ENST00000376592.5,1882,1682,1881,11,1971,0.5724949765275031,-0.4240590518887995,0.7973360858446769,-42.519463260288006,18.573156894184176,0.9837893925234539,66,-198.0,-3.0
CLCN6,ENST00000312413.10,2631,2431,2630,22,2544,0.6810087159475239,-0.35278605948410213,0.7768316533960782,-46.51782758776474,14.628651821863881,0.9901997156235268,66,-198.0,-3.0
NPPA,ENST00000376480.7,550,350,549,3,456,0.7404920140420304,-0.37471387021062424,0.9286849392883227,-16.90643683877707,19.999999999998177,0.9415108199244362,66,-198.0,-3.0
NPPB,ENST00000376468.3,487,287,486,3,405,0.7893121931600692,-0.04443493687972498,0.7916960432342872,-42.244183439611135,15.72940853846271,0.988916801016541,67,-199.0,-1.0
KIAA2013,ENST00000376572.7,2074,1874,2073,3,1905,0.5416482951917906,-0.3249489851811056,0.9044295968814285,-21.636228608121428,19.999999999999996,0.9341986968677363,66,-198.0,-3.0
PLOD1,ENST00000449038.5,694,494,693,6,676,0.8032996558498968,0.40773794069060926,0.7549490685129294,-49.52008443443998,18.024872312077157,0.9188828634433329,67,-199.0,-1.0
MFN2,ENST00000444836.5,2513,2313,2512,18,2274,0.5467837509905227,-0.47664566357726235,0.7214469626841244,-57.15350138854336,11.498166488853117,0.9846919063117658,67,-200.0,-2.0
MIIP,ENST00000235332.5,1250,1050,1249,10,1167,0.6544143672171429,-0.7625012865299177,0.7965201866446674,-42.67856360428985,19.999999999999996,0.9817924568167664,66,-198.0,-3.0
TNFRSF8,ENST00000417814.3,1675,1475,1674,14,1452,0.695076623052111,-0.34823800443412845,0.7709733653352008,-46.34727366363023,19.999999999999996,0.9960918714346927,67,-199.0,-1.0
TNFRSF1B,ENST00000536782.2,547,347,546,5,468,0.05205826112614328,-0.8165390999999861,0.9999999999999999,-1.0000000000000284,0.9801219196365403,0.9049639896079584,67,-199.0,-1.0
VPS13D,ENST00000620676.4,13166,12966,13165,70,13167,0.43092393721182465,-0.2717278921198808,0.794582771908959,-43.056359477753006,14.31133287048945,0.9952023195355808,66,-198.0,-3.0
DHRS3,ENST00000616661.4,1208,1008,1207,6,909,0.7041846271883357,-0.5959906479639226,0.7439286607146777,-52.702125178493816,18.214876023722475,0.9964263822187722,67,-200.0,-2.0
AADACL4,ENST00000376221.1,450,250,449,4,1224,0.5369003220590924,-0.4284082932113206,0.7663034561879292,-48.27191567479002,8.894958549587972,0.9903394683917072,67,-200.0,-2.0
AADACL3,ENST00000359318.7,484,284,483,4,1224,0.17771604240455519,-0.3486963075401394,0.759130240219803,-49.692212436479,9.801589025231511,0.9914088814929404,67,-200.0,-2.0
C1orf158,ENST00000614859.4,620,420,619,4,585,0.3618757975991968,-0.5940115268534343,0.6646407013595502,-67.40114113080907,11.741696752065293,0.9957399758909007,67,-199.0,-1.0
PRAMEF12,ENST00000357726.4,891,691,890,3,1452,0.08652343117228367,-0.23215360820515418,0.84174504512474,-33.334481065301475,19.99999999999987,0.8082455550118476,67,-200.0,-2.0
PRAMEF1,ENST00000332296.7,970,770,969,4,1425,0.0021375934710659373,-0.3349299047451147,0.8189097462436227,-37.85587024376272,17.687974919972497,0.7659994000196224,67,-200.0,-2.0
PRAMEF11,ENST00000619922.1,947,747,946,4,1437,0.07906192350852162,-0.3079278723819807,0.8271594543906483,-36.22242803065163,19.9999999999999,0.8734476331025991,67,-200.0,-2.0
PRAMEF2,ENST00000240189.2,954,754,953,4,1425,-0.06602444338990912,0.0631126907819079,0.045927779619589645,-190.90629963532126,0.01000000038728304,0.003834700042419925,67,-200.0,-2.0
PRAMEF4,ENST00000235349.5,947,747,946,4,1437,0.09285432781007746,-0.3193509830854275,0.816030577264129,-38.42594570170246,19.99999999999379,0.9040287064127766,67,-200.0,-2.0
PRAMEF10,ENST00000235347.4,947,747,946,4,1425,-0.09518880803432322,0.050424397816293105,0.2279533922968777,-154.86522832521823,9.067432696609192,0.18437455904409006,67,-200.0,-2.0
PRAMEF7,ENST00000616979.4,962,762,961,4,1425,0.04085146418673982,0.09694867181947527,0.3493292901927087,-130.83280054184368,19.99166611411796,0.130879892343025,67,-200.0,-2.0
PRAMEF6,ENST00000415464.6,956,756,955,4,1431,0.05941228375163924,-0.28909238789105707,0.8395595700099183,-33.76720513803616,19.99999999999647,0.8580634894371412,67,-200.0,-2.0
